entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp
268,278,10,BUY,528.525,596.81,617.1779642857142,475.3332214285714,68.28499999999997,12.91991864150229,time,2025-04-23 01:00:00
280,282,2,BUY,603.72,657.7143392857143,657.7143392857143,571.3233964285714,53.99433928571432,8.94360618924573,tp,2025-05-09 01:00:00
284,294,10,BUY,654.275,647.49,707.8507321428572,622.1295607142856,-6.784999999999968,-1.0370257154866025,time,2025-05-15 01:00:00
296,306,10,BUY,671.445,697.23,710.4911250000001,648.017325,25.784999999999968,3.840225185979487,time,2025-06-03 01:00:00
308,314,6,BUY,700.75,744.55,738.4758928571429,678.1144642857142,43.799999999999955,6.25044595076703,tp,2025-06-20 01:00:00
316,326,10,BUY,715.325,701.41,753.7375714285715,692.2774571428572,-13.915000000000077,-1.9452696326844547,time,2025-07-02 01:00:00
328,336,8,BUY,706.8,775.2,741.5855892857143,685.9286464285714,68.40000000000009,9.677419354838722,tp,2025-07-21 01:00:00
338,348,10,BUY,760.0,767.37,809.8774821428572,730.0735107142857,7.3700000000000045,0.9697368421052637,time,2025-08-04 01:00:00
350,360,10,BUY,747.57,748.65,807.5368214285714,711.5899071428572,1.0799999999999272,0.14446807656807084,time,2025-08-20 01:00:00
362,372,10,BUY,755.995,765.16,795.2008928571429,732.4714642857143,9.164999999999964,1.212309605222252,time,2025-09-08 01:00:00
374,378,4,BUY,757.5,732.1708714285714,799.7152142857143,732.1708714285714,-25.329128571428555,-3.3437793493635057,sl,2025-09-24 01:00:00
380,382,2,BUY,722.58,696.915342857143,765.3544285714286,696.915342857143,-25.664657142857095,-3.551808400849331,sl,2025-10-02 01:00:00
384,394,10,BUY,713.45,733.41,756.3734642857144,687.6959214285715,19.959999999999923,2.797673277734939,time,2025-10-08 01:00:00
396,400,4,BUY,736.79,669.15,778.8551607142857,711.5509035714285,-67.63999999999999,-9.180363468559563,sl,2025-10-24 01:00:00
402,405,3,BUY,656.0,623.2217964285715,710.6303392857143,623.2217964285715,-32.77820357142855,-4.996677373693377,sl,2025-11-03 01:00:00
