entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp
110,112,2,BUY,505.68,496.87534285714287,520.3544285714286,496.87534285714287,-8.804657142857138,-1.7411519425045756,sl,2024-09-04 01:00:00
114,119,5,BUY,503.95,519.7972857142857,519.7972857142857,494.44162857142857,15.84728571428576,3.144614686831186,tp,2024-09-10 01:00:00
121,131,10,BUY,524.88,521.84,542.4585892857143,514.3328464285714,-3.0399999999999636,-0.5791800030483089,time,2024-09-19 01:00:00
133,138,5,BUY,525.14,537.5623035714285,537.5623035714285,517.6866178571429,12.422303571428529,2.3655222552897377,tp,2024-10-07 01:00:00
140,150,10,BUY,532.93,533.16,545.1460535714284,525.6003678571428,0.2300000000000182,0.043157637963713476,time,2024-10-16 01:00:00
152,155,3,BUY,525.16,541.65,537.2066249999999,517.932025,16.49000000000001,3.139995429964203,tp,2024-11-01 01:00:00
157,162,5,BUY,548.07,539.2070357142858,562.8416071428572,539.2070357142858,-8.86296428571427,-1.6171226824519256,sl,2024-11-08 01:00:00
164,168,4,BUY,537.5,552.2821250000001,552.2821250000001,528.630725,14.782125000000065,2.7501627906976864,tp,2024-11-19 01:00:00
170,180,10,BUY,552.04,555.65,564.1881428571429,544.7511142857143,3.6100000000000136,0.6539381204260586,time,2024-11-27 01:00:00
182,184,2,BUY,557.13,552.1359964285714,565.4533392857143,552.1359964285714,-4.994003571428607,-0.8963803010838776,sl,2024-12-16 01:00:00
186,186,0,BUY,536.61,547.78125,547.78125,529.90725,11.171249999999986,2.081819198300439,tp,2024-12-20 01:00:00
188,191,3,BUY,548.06,539.5390464285714,562.2615892857142,539.5390464285714,-8.52095357142855,-1.5547483070153907,sl,2024-12-24 01:00:00
193,199,6,BUY,542.02,529.4,559.7894107142856,531.3583535714286,-12.620000000000005,-2.328327367993802,sl,2025-01-02 01:00:00
201,207,6,BUY,542.84,561.2384285714286,561.2384285714286,531.8009428571429,18.398428571428553,3.3892912407760214,tp,2025-01-15 01:00:00
209,219,10,BUY,552.3,556.65,569.1163214285714,542.2102071428571,4.350000000000023,0.7876154263987005,time,2025-01-28 01:00:00
221,228,7,BUY,555.87,546.5694214285714,571.3709642857143,546.5694214285714,-9.30057857142856,-1.673157135918211,sl,2025-02-13 01:00:00
230,230,0,BUY,548.83,540.7741642857144,562.2563928571428,540.7741642857144,-8.05583571428565,-1.4678198557450666,sl,2025-02-27 01:00:00
232,232,0,BUY,548.2,538.7807714285715,563.8987142857143,538.7807714285715,-9.419228571428562,-1.7182102465210802,sl,2025-03-03 01:00:00
234,237,3,BUY,530.25,518.6388000000001,549.602,518.6388000000001,-11.61119999999994,-2.1897595473832987,sl,2025-03-05 01:00:00
239,249,10,BUY,516.89,524.46,543.7466428571429,500.77601428571427,7.57000000000005,1.4645282361817893,time,2025-03-12 01:00:00
251,252,1,BUY,519.76,505.31,541.2684107142857,506.85495357142855,-14.449999999999989,-2.78012929044174,sl,2025-03-28 01:00:00
254,255,1,BUY,510.14,497.7824428571428,530.7359285714285,497.7824428571428,-12.35755714285716,-2.422385451612726,sl,2025-04-02 01:00:00
257,257,0,BUY,449.54,477.30025000000006,477.30025000000006,432.88385,27.760250000000042,6.1752569293055215,tp,2025-04-07 01:00:00
259,259,0,BUY,453.49,490.9753928571429,490.9753928571429,430.9987642857143,37.48539285714287,8.26598003421087,tp,2025-04-09 01:00:00
261,271,10,BUY,480.69,506.42,529.9756071428571,451.1186357142857,25.730000000000018,5.352722128606798,time,2025-04-11 01:00:00
273,282,9,BUY,503.26,541.133375,541.133375,480.535975,37.87337500000001,7.525608035607839,tp,2025-04-30 01:00:00
284,294,10,BUY,538.26,541.76,557.688625,526.602825,3.5,0.6502433768067477,time,2025-05-15 01:00:00
296,306,10,BUY,544.53,549.35,560.5664107142857,534.9081535714286,4.82000000000005,0.8851670247736673,time,2025-06-03 01:00:00
308,313,5,BUY,551.72,565.2463750000001,565.2463750000001,543.6041749999999,13.52637500000003,2.4516738563039273,tp,2025-06-20 01:00:00
315,325,10,BUY,566.56,573.74,579.9390714285714,558.5325571428571,7.180000000000064,1.2672973736232818,time,2025-07-01 01:00:00
327,337,10,BUY,578.47,572.0077857142858,589.2403571428572,572.0077857142858,-6.4622142857142535,-1.1171217670258187,sl,2025-07-18 01:00:00
339,345,6,BUY,580.79,593.2759723214285,593.2759723214285,573.2984166071428,12.485972321428562,2.1498256377397276,tp,2025-08-05 01:00:00
347,350,3,BUY,593.86,585.3594201785714,608.0276330357143,585.3594201785714,-8.500579821428573,-1.4314114137050102,sl,2025-08-15 01:00:00
352,361,9,BUY,586.27,598.91,598.3802321428572,579.0038607142857,12.639999999999986,2.156003206713628,tp,2025-08-22 01:00:00
363,370,7,BUY,596.61,609.5081964285714,609.5081964285714,588.8710821428572,12.898196428571396,2.161914220105495,tp,2025-09-09 01:00:00
372,375,3,BUY,610.52,603.5611678571429,622.1180535714285,603.5611678571429,-6.958832142857091,-1.1398205043007748,sl,2025-09-22 01:00:00
377,386,9,BUY,610.79,604.285025,621.631625,604.285025,-6.504974999999945,-1.0650100689271182,sl,2025-09-29 01:00:00
388,396,8,BUY,604.2,621.92,618.813125,595.432125,17.719999999999914,2.9328037073816473,tp,2025-10-14 01:00:00
398,405,7,BUY,631.71,619.485525,652.084125,619.485525,-12.224474999999984,-1.935140333380821,sl,2025-10-28 01:00:00
