entry_index,exit_index,bars_held,signal,entry_price,exit_price,take_profit,stop_loss,pnl,pnl_pct,exit_reason,timestamp,ticker
102,106,4,BUY,181.38,172.10105357142857,196.8449107142857,172.10105357142857,-9.27894642857143,-5.115749491989983,sl,2024-08-22 01:00:00,AMZN
102,112,10,BUY,113.78,112.64,119.70748214285715,110.22351071428571,-1.1400000000000006,-1.0019335559852351,time,2024-08-22 01:00:00,XOM
103,109,6,BUY,166.55,160.07107142857146,177.34821428571428,160.07107142857146,-6.478928571428554,-3.8900801989964298,sl,2024-08-23 01:00:00,GOOG
103,109,6,BUY,173.88,166.21703571428571,186.65160714285713,166.21703571428571,-7.662964285714281,-4.407041802228135,sl,2024-08-23 01:00:00,BA
104,110,6,BUY,527.6,505.9453678571429,563.6910535714286,505.9453678571429,-21.65463214285711,-4.104365455431598,sl,2024-08-26 01:00:00,META
106,112,6,BUY,90.33,88.136175,93.986375,88.136175,-2.193825000000004,-2.428678180006647,sl,2024-08-28 01:00:00,DIS
108,115,7,BUY,172.78,181.96073214285713,181.96073214285713,167.27156071428573,9.180732142857124,5.31353868668661,tp,2024-08-30 01:00:00,AMZN
109,109,0,BUY,116.01,107.48678571428572,130.21535714285716,107.48678571428572,-8.523214285714289,-7.346965163101705,sl,2024-09-03 01:00:00,NVDA
109,110,1,BUY,222.3,218.2982142857143,228.96964285714284,218.2982142857143,-4.001785714285717,-1.8001735106998276,sl,2024-09-03 01:00:00,JPM
109,110,1,BUY,55.99,52.65,60.874,53.0596,-3.3400000000000034,-5.965350955527779,sl,2024-09-03 01:00:00,CMG
110,112,2,BUY,505.68,496.87534285714287,520.3544285714286,496.87534285714287,-8.804657142857138,-1.7411519425045756,sl,2024-09-04 01:00:00,VOO
111,112,1,BUY,157.78,152.6502142857143,166.32964285714286,152.6502142857143,-5.129785714285703,-3.251226843887503,sl,2024-09-05 01:00:00,GOOG
111,115,4,BUY,164.15,156.2214285714286,177.3642857142857,156.2214285714286,-7.928571428571416,-4.83007702014707,sl,2024-09-05 01:00:00,BA
111,115,4,SELL,138.2,147.81330714285716,122.1778214285714,147.81330714285716,-9.613307142857167,-6.956083316105041,sl,2024-09-05 01:00:00,AMD
111,121,10,BUY,61.14,70.3,69.96176785714286,55.84693928571429,9.159999999999997,14.982008505070324,tp,2024-09-05 01:00:00,TQQQ
111,121,10,BUY,888.63,900.74,927.5744285714286,865.2633428571429,12.110000000000014,1.3627719073180078,time,2024-09-05 01:00:00,COST
111,115,4,BUY,49.5,47.990271428571425,52.01621428571429,47.990271428571425,-1.5097285714285746,-3.0499567099567164,sl,2024-09-05 01:00:00,CSCO
111,121,10,BUY,673.14,715.1627500000001,715.1627500000001,647.92635,42.02275000000009,6.242794960929389,tp,2024-09-05 01:00:00,NFLX
111,118,7,BUY,221.625,215.5396607142857,231.76723214285715,215.5396607142857,-6.085339285714298,-2.745781967609384,sl,2024-09-05 01:00:00,AAPL
111,121,10,BUY,104.985,117.87,120.88499999999999,95.44500000000001,12.885000000000005,12.273181883126167,time,2024-09-05 01:00:00,NVDA
112,112,0,BUY,217.6,213.03946428571427,225.20089285714283,213.03946428571427,-4.56053571428572,-2.095834427521011,sl,2024-09-06 01:00:00,JPM
112,112,0,BUY,521.88,504.7352142857143,550.4546428571429,504.7352142857143,-17.144785714285717,-3.2851969254015705,sl,2024-09-06 01:00:00,META
112,118,6,BUY,53.19,56.83739285714286,56.83739285714286,51.00156428571428,3.6473928571428615,6.857290575564695,tp,2024-09-06 01:00:00,CMG
114,118,4,BUY,88.33,91.75917857142858,91.75917857142858,86.27249285714285,3.4291785714285794,3.882235448237948,tp,2024-09-10 01:00:00,DIS
114,114,0,BUY,218.6,213.06553571428572,227.82410714285714,213.06553571428572,-5.534464285714279,-2.5317768919095514,sl,2024-09-10 01:00:00,JPM
114,114,0,BUY,115.1,111.46914285714286,121.15142857142857,111.46914285714286,-3.6308571428571383,-3.1545240163832653,sl,2024-09-10 01:00:00,XOM
114,119,5,BUY,151.45,161.355,161.355,145.507,9.905000000000001,6.540112248266756,tp,2024-09-10 01:00:00,GOOG
114,119,5,BUY,503.95,519.7972857142857,519.7972857142857,494.44162857142857,15.84728571428576,3.144614686831186,tp,2024-09-10 01:00:00,VOO
114,119,5,BUY,508.16,539.5605178571429,539.5605178571429,489.3196892857143,31.400517857142916,6.17925807957,tp,2024-09-10 01:00:00,META
116,126,10,BUY,207.65,209.78,220.34178571428572,200.0349285714286,2.1299999999999955,1.0257645075848763,time,2024-09-12 01:00:00,JPM
116,121,5,BUY,109.9,116.3907142857143,116.3907142857143,106.00557142857143,6.49071428571429,5.906018458338753,tp,2024-09-12 01:00:00,XOM
117,127,10,BUY,187.0,187.97,199.24876785714287,179.65073928571428,0.9699999999999989,0.5187165775401064,time,2024-09-13 01:00:00,AMZN
117,121,4,BUY,49.74,51.640125000000005,51.640125000000005,48.599925,1.9001250000000027,3.8201145958986786,tp,2024-09-13 01:00:00,CSCO
117,125,8,SELL,152.32,161.4523,137.09949999999998,161.4523,-9.132300000000015,-5.995470063025221,sl,2024-09-13 01:00:00,AMD
117,127,10,BUY,159.78,156.32,173.48914285714287,151.55451428571428,-3.460000000000008,-2.165477531605963,time,2024-09-13 01:00:00,BA
120,121,1,BUY,217.55,229.71071428571432,229.71071428571432,210.25357142857143,12.160714285714306,5.5898479824014276,tp,2024-09-18 01:00:00,AAPL
120,128,8,BUY,93.52,97.0667142857143,97.0667142857143,91.39197142857142,3.5467142857143017,3.792466088231717,tp,2024-09-18 01:00:00,DIS
120,130,10,BUY,58.54,56.464642857142856,61.99892857142857,56.464642857142856,-2.0753571428571433,-3.545194982673631,sl,2024-09-18 01:00:00,CMG
121,131,10,BUY,550.0,582.77,584.406875,529.355875,32.76999999999998,5.9581818181818145,time,2024-09-19 01:00:00,META
121,131,10,BUY,524.88,521.84,542.4585892857143,514.3328464285714,-3.0399999999999636,-0.5791800030483089,time,2024-09-19 01:00:00,VOO
